clade_name	mean_clr_M	mean_clr_S	diff_S_minus_M	cohens_d	prev_M	prev_S	p_perm	q_fdr
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Gallintestinimicrobium|s__Gallintestinimicrobium_propionicum	3.376029	-2.762206	-6.138235	-0.989689	8	5	0.03598201	0.57943144
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4552|s__GGB4552_SGB6276	1.224049	-1.001495	-2.225543	-0.448249	2	1	0.35082459	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	1.096500	-0.897136	-1.993637	-0.292397	7	6	0.56071964	0.90980286
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anthropogastromicrobium|s__Anthropogastromicrobium_aceti	3.323370	-2.719121	-6.042491	-1.077376	9	6	0.03748126	0.57943144
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038|g__GGB33586|s__GGB33586_SGB53517	1.599002	-1.308275	-2.907277	-0.755840	2	0	0.18390805	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB32970|o__OFGB32970|f__FGB32970|g__GGB51884|s__GGB51884_SGB49168	2.261612	-1.850410	-4.112023	-0.808580	4	1	0.11694153	0.81449914
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_210917_DFI_7_65	1.624403	-1.329057	-2.953459	-0.619984	9	8	0.18640680	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	1.889415	-1.545885	-3.435300	-0.621711	8	7	0.18690655	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_AF58_1A	2.245688	-1.837381	-4.083068	-0.794584	9	7	0.08495752	0.68982519
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	2.423867	-1.983164	-4.407031	-0.612071	7	5	0.19690155	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.256978	-0.210254	-0.467232	-0.133719	9	10	0.93003498	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Neopoerus|s__Neopoerus_faecalis	1.800648	-1.473257	-3.273906	-0.513019	7	5	0.32933533	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Anaerotignaceae|g__Anaerotignum|s__Anaerotignum_sp_MSJ_24	2.707413	-2.215156	-4.922570	-0.826154	5	2	0.09145427	0.71287129
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217|f__FGB1217|g__GGB2982|s__GGB2982_SGB3964	2.643038	-2.162486	-4.805524	-0.847177	5	2	0.09195402	0.71287129
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Evtepia|s__Evtepia_gabavorous	0.918997	-0.751907	-1.670904	-0.365642	2	1	0.43678161	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM33_3	1.945142	-1.591480	-3.536621	-0.532828	7	5	0.32083958	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9618|s__GGB9618_SGB15065	0.787254	-0.644117	-1.431370	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Ruminococcaceae_bacterium_AF68_02b2A	1.682093	-1.376258	-3.058350	-0.541625	3	1	0.27236382	0.81449914
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	1.491255	-1.220118	-2.711373	-0.390019	7	7	0.38280860	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB3619|s__GGB3619_SGB4894	1.333508	-1.091052	-2.424561	-0.504006	3	1	0.38380810	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor_plautii	-0.726230	0.594188	1.320417	0.918086	9	11	0.06846577	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB51512|s__GGB51512_SGB71885	0.959326	-0.784903	-1.744229	-0.294851	3	2	0.57371314	0.91864497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis	0.895306	-0.732523	-1.627830	-0.523713	9	10	0.27136432	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pusillibacter|s__Pusillibacter_faecalis	1.366990	-1.118446	-2.485436	-0.452160	8	8	0.34732634	0.81449914
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified|f__Bacillota_unclassified|g__Negativibacillus|s__Negativibacillus_massiliensis	3.189572	-2.609650	-5.799221	-1.136739	5	1	0.03098451	0.56420627
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054|g__GGB9715|s__GGB9715_SGB15267	0.782354	-0.640108	-1.422462	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	1.060173	-0.867414	-1.927587	-0.419527	9	9	0.40079960	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	3.695433	-3.023536	-6.718969	-1.204873	8	4	0.01949025	0.50490884
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_hominis	1.907753	-1.560889	-3.468643	-0.578866	8	7	0.21839080	0.81449914
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified|f__Bacillota_unclassified|g__GGB2998|s__GGB2998_SGB3988	3.494667	-2.859273	-6.353941	-1.065307	7	3	0.04697651	0.63418291
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_wellingii	0.313968	-0.256883	-0.570851	-0.104200	2	2	0.79010495	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Flintibacter|s__Flintibacter_SGB15145	0.915692	-0.749203	-1.664895	-0.259892	4	3	0.62768616	0.98177558
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Beduinellaceae|g__GGB9760|s__GGB9760_SGB15373	1.696320	-1.387899	-3.084219	-0.547932	4	2	0.27286357	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_faecis	3.495641	-2.860070	-6.355711	-1.151085	9	6	0.01949025	0.50490884
